date,maxtempm,mintempm,avgtempm,avgtempm_1,avgtempm_2,meanhdd_3,meanhdd_1,meanhdd_2,meancdd_1,meancdd_2,meancdd_3,minPrecipitationWaterEquiv,maxPrecipitationWaterEquiv,meanPrecipitationWaterEquiv,minSnowfall,maxSnowfall,meanSnowfall,Snow/IceDepth_1,Snow/IceDepth_2,Snow/IceDepth_3,mindewpt,maxdewpt,meandewpt,minpressure,maxpressure,meanpressure,minhumidity,maxhumidity,meanhumidity,Waterlevel_1,Waterlevel_2,Waterlevel_3,minWaterlevel_1,minWaterlevel_2,minWaterlevel_3,maxWaterlevel_1,maxWaterlevel_2,maxWaterlevel_3,Waterlevel
2/21/1978,75,50,62.5,62.5,62.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,19,25,22,1005,1010,1007.84,40,89,89,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
2/22/1978,78,54,66,66,66,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,21,25,23,1005,1011,1008.19,39,94,94,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
2/23/1978,65,52,58.5,58.5,58.5,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,20,24,22,1006,1011,1008.49,37,89,89,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
2/24/1978,60,53,56.5,56.5,56.5,8.5,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,18,25,22,1002,1010,1006.81,31,89,89,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
2/25/1978,61,53,57,57,57,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,17,24,21,1004,1010,1007.3,25,83,83,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
2/26/1978,62,55,58.5,58.5,58.5,6.5,6.5,6.5,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,19,24,21,1005,1011,1008.85,30,70,70,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
2/27/1978,61,54,57.5,57.5,57.5,7.5,7.5,7.5,0,0,0,0.07,0.07,0.07,0,0,0,0,0,0,21,25,23,1006,1012,1009.59,48,94,94,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
2/28/1978,66,57,61.5,61.5,61.5,3.5,3.5,3.5,0,0,0,1.61,1.61,1.61,0,0,0,0,0,0,20,25,23,1005,1012,1009.11,32,100,100,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34
03/01/78,63,57,60,60,60,5,5,5,0,0,0,1.48,1.48,1.48,0,0,0,0,0,0,21,25,23,1004,1011,1008.59,44,100,100,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34
03/02/78,63,56,59.5,59.5,59.5,5.5,5.5,5.5,0,0,0,0.42,0.42,0.42,0,0,0,0,0,0,19,25,23,1003,1010,1007.36,31,94,94,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
03/03/78,64,56,60,60,60,5,5,5,0,0,0,0.19,0.19,0.19,0,0,0,0,0,0,16,24,20,1002,1009,1006.94,29,84,84,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36
03/04/78,63,54,58.5,58.5,58.5,6.5,6.5,6.5,0,0,0,2.27,2.27,2.27,0,0,0,0,0,0,13,22,18,1002,1009,1006.69,22,78,78,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36
03/05/78,67,57,62,62,62,3,3,3,0,0,0,0.02,0.02,0.02,0,0,0,0,0,0,10,19,15,1002,1009,1005.96,12,73,73,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39
03/06/78,63,51,57,57,57,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,19,14,1000,1008,1005.27,9,65,65,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45
03/07/78,67,52,59.5,59.5,59.5,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,8,23,15,1001,1009,1004.83,11,65,65,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69
03/08/78,64,57,60.5,60.5,60.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,11,25,21,1000,1006,1003.91,31,66,66,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69
03/09/78,61,54,57.5,57.5,57.5,7.5,7.5,7.5,0,0,0,0.13,0.13,0.13,0,0,0,0,0,0,19,24,22,1001,1006,1004.59,33,79,79,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85
03/10/78,64,52,58,58,58,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,13,22,19,1003,1010,1006.91,18,78,78,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35
03/11/78,61,51,56,56,56,9,9,9,0,0,0,0.04,0.04,0.04,0,0,0,0,0,0,16,22,19,1006,1012,1009.27,22,83,83,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45
03/12/78,62,48,55,55,55,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,15,21,18,1004,1011,1008.07,23,66,66,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
3/13/1978,66,49,57.5,57.5,57.5,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,13,20,17,1005,1011,1008.52,19,65,65,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
3/14/1978,66,49,57.5,57.5,57.5,7.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,9,26,15,1005,1012,1009.03,13,66,66,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
3/15/1978,81,51,66,66,66,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,19,10,1004,1011,1007.57,8,45,45,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65
3/16/1978,93,57,75,75,75,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,7,21,10,1003,1010,1007,11,37,37,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84
3/17/1978,91,63,77,77,77,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,6,19,11,1006,1012,1009.5,8,50,50,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
3/18/1978,73,61,67,67,67,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,6,14,10,1005,1013,1008.87,10,50,50,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
3/19/1978,69,60,64.5,64.5,64.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,5,13,10,1004,1011,1008.38,11,42,42,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
3/20/1978,66,60,63,63,63,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,12,9,1005,1018,1009.66,9,33,33,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
3/21/1978,68,59,63.5,63.5,63.5,1.5,1.5,1.5,0,0,0,0.06,0.06,0.06,0,0,0,0,0,0,5,16,11,1006,1013,1010.71,9,53,53,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
3/22/1978,67,58,62.5,62.5,62.5,2.5,2.5,2.5,0,0,0,0.58,0.58,0.58,0,0,0,0,0,0,10,17,12,1006,1013,1010.68,12,53,53,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
3/23/1978,65,55,60,60,60,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,8,14,10,1006,1014,1010.51,13,39,39,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
3/24/1978,67,54,60.5,60.5,60.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,9,14,11,1005,1013,1009.93,11,53,53,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
3/25/1978,80,58,69,69,69,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,7,17,11,1004,1011,1008.76,10,57,57,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
3/26/1978,79,57,68,68,68,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,8,17,11,1005,1011,1008.81,10,47,47,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
3/27/1978,66,59,62.5,62.5,62.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,5,15,10,1004,1011,1008.37,12,41,41,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
3/28/1978,67,59,63,63,63,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,19,12,1004,1011,1008.29,9,53,53,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
3/29/1978,64,60,62,62,62,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,15,9,1004,1011,1008.2,6,50,50,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
3/30/1978,65,59,62,62,62,3,3,3,0,0,0,0.28,0.28,0.28,0,0,0,0,0,0,1,15,8,1002,1010,1006.77,6,47,47,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
3/31/1978,66,56,61,61,61,4,4,4,0,0,0,0.28,0.28,0.28,0,0,0,0,0,0,-5,12,5,1002,1010,1006.89,4,46,46,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
04/01/78,65,53,59,59,59,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-3,9,4,1004,1010,1007.37,4,38,38,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
04/02/78,65,54,59.5,59.5,59.5,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,-8,10,4,1004,1011,1008.21,4,44,44,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
04/03/78,66,51,58.5,58.5,58.5,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,-3,13,4,1006,1012,1009.56,4,40,40,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
04/04/78,62,55,58.5,58.5,58.5,6.5,6.5,6.5,0,0,0,0.23,0.23,0.23,0,0,0,0,0,0,-2,14,5,1006,1014,1010.37,6,46,46,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34
04/05/78,66,50,58,58,58,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,18,10,1006,1013,1010.28,11,53,53,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34
04/06/78,63,53,58,58,58,7,7,7,0,0,0,0.27,0.27,0.27,0,0,0,0,0,0,5,16,11,1006,1012,1009.74,9,53,53,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
04/07/78,60,49,54.5,54.5,54.5,10.5,10.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,-5,15,7,1004,1012,1009.09,4,57,57,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36
04/08/78,62,46,54,54,54,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-3,10,3,1004,1010,1007.93,6,46,46,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36
04/09/78,66,48,57,57,57,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-3,9,2,1006,1012,1010.07,6,43,43,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39
04/10/78,66,54,60,60,60,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-7,14,0,1008,1015,1012.72,4,35,35,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45
04/11/78,66,55,60.5,60.5,60.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,-3,10,3,1004,1018,1014.7,5,37,37,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69
04/12/78,63,57,60,60,60,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-5,12,4,1011,1018,1015.29,4,41,41,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69
4/13/1978,63,57,60,60,60,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,1010,1017,1014.32,11,46,46,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85
4/14/1978,67,57,62,62,62,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,10,5,1010,1016,1014.28,5,49,49,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35
4/15/1978,63,53,58,58,58,7,7,7,0,0,0,0.69,0.69,0.69,0,0,0,0,0,0,-3,8,3,1013,1018,1015.79,5,43,43,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45
4/16/1978,61,48,54.5,54.5,54.5,10.5,10.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,1012,1020,1016.35,9,53,53,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
4/17/1978,66,47,56.5,56.5,56.5,8.5,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,3,12,8,1011,1017,1014.77,11,56,56,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
4/18/1978,70,53,61.5,61.5,61.5,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,1012,1019,1015.5,7,57,57,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
4/19/1978,67,52,59.5,59.5,59.5,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,2,12,6,1010,1018,1014.37,9,58,58,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65
4/20/1978,66,54,60,60,60,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,14,7,1011,1017,1014.67,8,53,53,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84
4/21/1978,67,53,60,60,60,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,16,12,1013,1019,1016.1,20,60,60,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
4/22/1978,66,52,59,59,59,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,17,12,1014,1020,1016.73,19,68,68,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
4/23/1978,69,52,60.5,60.5,60.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,8,14,11,1013,1019,1016.51,17,68,68,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
4/24/1978,68,56,62,62,62,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,13,9,1002,1018,1015.29,13,63,63,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
4/25/1978,65,56,60.5,60.5,60.5,4.5,4.5,4.5,0,0,0,0.04,0.04,0.04,0,0,0,0,0,0,1,10,7,1012,1018,1015.42,11,56,56,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
4/26/1978,64,53,58.5,58.5,58.5,6.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,2,28,7,1011,1017,1014.53,13,100,100,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
4/27/1978,66,53,59.5,59.5,59.5,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6,1012,1018,1015.25,10,52,52,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
4/28/1978,67,54,60.5,60.5,60.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2,13,7,1012,1019,1016.05,9,57,57,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
4/29/1978,67,58,62.5,62.5,62.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6,1009,1017,1013.51,15,59,59,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
4/30/1978,66,57,61.5,61.5,61.5,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,1008,1015,1012.56,12,59,59,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
05/01/78,66,52,59,59,59,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,11,7,1007,1014,1011,15,45,45,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
05/02/78,68,55,61.5,61.5,61.5,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,8,12,9,1010,1015,1012.75,23,52,52,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
05/03/78,62,56,59,59,59,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,10,13,11,1011,1017,1014.04,30,56,56,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
05/04/78,65,58,61.5,61.5,61.5,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,9,13,11,1013,1018,1015.15,29,60,60,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
05/05/78,66,58,62,62,62,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,13,11,1014,1018,1016,27,72,72,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
05/06/78,70,56,63,63,63,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,1015,1019,1017.2,20,56,56,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
05/07/78,76,54,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,8,1,1016,1021,1018.55,8,62,62,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32
05/08/78,81,57,69,69,69,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,-6,5,0,1014,1019,1016.75,9,47,47,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
05/09/78,77,58,67.5,67.5,67.5,0,0,0,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,-6,7,-1,1013,1019,1015.79,6,58,58,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34
05/10/78,68,57,62.5,62.5,62.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,-8,5,-2,1012,1017,1015.03,7,54,54,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34
05/11/78,68,57,62.5,62.5,62.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,-6,10,-1,1014,1019,1016.6,8,82,82,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
05/12/78,85,56,70.5,70.5,70.5,0,0,0,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,-9,5,-1,1014,1020,1016.86,9,54,54,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36
5/13/1978,82,64,73,73,73,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,-5,5,0,1015,1021,1018.02,7,54,54,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36
5/14/1978,80,61,70.5,70.5,70.5,0,0,0,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,-7,7,0,1012,1018,1015.62,5,62,62,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39
5/15/1978,72,60,66,66,66,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-4,8,1,1012,1017,1014.79,6,54,54,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45
5/16/1978,75,60,67.5,67.5,67.5,0,0,0,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,-2,9,2,1014,1019,1016.34,7,51,51,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69
5/17/1978,84,57,70.5,70.5,70.5,0,0,0,5.5,5.5,5.5,0,0,0,0,0,0,0,0,0,-1,7,3,1013,1018,1016.2,7,55,55,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69
5/18/1978,86,60,73,73,73,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,7,4,1013,1018,1016.12,10,51,51,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85
5/19/1978,74,59,66.5,66.5,66.5,0,0,0,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,7,3,1014,1020,1017.29,14,45,45,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35
5/20/1978,68,58,63,63,63,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,1014,1020,1017.07,13,51,51,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45
5/21/1978,68,58,63,63,63,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,1013,1018,1015.63,18,58,58,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91
5/22/1978,69,58,63.5,63.5,63.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,1014,1018,1016,27,72,72,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
5/23/1978,68,57,62.5,62.5,62.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,4,11,9,1014,1018,1016.39,24,82,82,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
5/24/1978,67,53,60,60,60,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-2,11,4,1014,1018,1016.27,11,77,77,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65
5/25/1978,69,52,60.5,60.5,60.5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,-3,9,2,1013,1019,1016.64,13,59,59,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84
5/26/1978,70,53,61.5,61.5,61.5,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,1013,1018,1016.05,16,62,62,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
5/27/1978,73,56,64.5,64.5,64.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,1013,1018,1015.9,17,59,59,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
5/28/1978,78,58,68,68,68,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,4,15,8,1012,1017,1014.46,20,96,96,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
5/29/1978,95,62,78.5,78.5,78.5,0,0,0,13.5,13.5,13.5,0,0,0,0,0,0,0,0,0,11,16,13,1014,1018,1016.39,53,100,100,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29
5/30/1978,79,60,69.5,69.5,69.5,0,0,0,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,15,9,1002,1021,1018.02,20,100,100,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28
5/31/1978,71,60,65.5,65.5,65.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,8,4,1017,1022,1019.4,20,72,72,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
06/01/78,69,58,63.5,63.5,63.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1016,1023,1020.47,16,62,62,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27
06/02/78,71,58,64.5,64.5,64.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,-11,5,-2,1020,1024,1022.15,8,58,58,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
06/03/78,70,58,64,64,64,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-11,4,-2,1020,1026,1023.07,4,62,62,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
